Software ver: OPC-N3 Alphasense 1.0.6457.18465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device SerNo,OPC-N3 177470402                                            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfoString,OPC-N3 Iss1.1 FirmwareVer=1.17............................BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser digital pot setting,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan digital pot setting,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToF to SFR factor,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin23 (upper boundary),,,,,,,,,,,,,,,,,,,,
Bin low boundary (ADC o/p),14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158,,,,,,,,,,,,,,,,,,,,
Bin low boundary (particle diameter [um]),0.35,0.46,0.66,1,1.3,1.7,2.3,3,4,5.2,6.5,8,10,12,14,16,18,20,22,25,28,31,34,37,40,,,,,,,,,,,,,,,,,,,,
Bin mean (particle diameter [um]),0.41,0.56,0.83,1.15,1.5,2,2.65,3.5,4.6,5.85,7.25,9,11,13,15,17,19,21,23.5,26.5,29.5,32.5,35.5,38.5,,,,,,,,,,,,,,,,,,,,,
Vol of a particle in bin (um3),0.0348,0.092,0.2994,0.7963,1.7671,4.1888,9.744,22.4493,50.965,104.8253,199.532,381.7035,696.91,1150.3465,1767.1459,2572.4408,3591.364,4849.0483,6795.1995,9743.9769,13442.0241,17974.1642,23425.2202,29880.015,,,,,,,,,,,,,,,,,,,,,
Weighting for bin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
43507.72189,315.06,23.092,4.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,342.369,4.98,5.1,26.8,32.9,95,0,765,22,0,613,2.64,2.77,2.77,2.64,2.77,2.77
43507.72201,309.419,20.24,4.609,0.601,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,0,0,335.07,4.99,5.29,26.9,32.8,92,0,782,22,0,612,2.52,2.75,2.76,2.58,2.76,2.77
43507.72213,312.45,22.691,3.213,0.402,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10.33,0,0,338.956,4.98,5.2,26.9,32.5,124,0,822,16,0,612,2.55,2.81,4.38,2.57,2.78,3.3
43507.72224,322.645,22.244,2.806,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15.67,0,0,348.297,4.99,5.15,27.1,32.2,116,0,805,23,0,612,2.62,2.94,3.15,2.58,2.82,3.26
43507.72236,310.621,26.052,3.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,339.88,4.99,5.32,27.2,32,101,0,902,19,0,613,2.51,2.62,2.62,2.56,2.78,3.14
43507.72247,316.433,22.846,3.407,0.2,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,12,0,343.287,4.99,5.41,27.3,31.8,111,0,787,29,0,613,2.48,2.76,5.75,2.55,2.78,3.57
43507.72259,318.637,22.445,5.21,0.601,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,10.67,0,347.295,4.99,5.45,27.4,31.6,90,1,755,34,0,613,2.56,2.9,2.95,2.55,2.79,3.48
43507.72271,302.605,16.834,3.407,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,0,0,323.046,4.99,5.69,27.4,32.2,106,0,787,20,0,612,2.18,2.29,2.3,2.51,2.73,3.33
43507.72282,323.046,22.645,4.208,0.2,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,0,350.501,4.99,5.59,27.5,31.6,98,0,796,27,0,612,2.46,2.74,10.67,2.5,2.73,4.15
43507.72294,310.02,24.449,3.607,0.601,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,0,339.078,4.99,5.55,27.6,31.6,96,1,793,31,0,613,2.43,2.64,9.21,2.49,2.72,4.66
43507.72305,316.232,19.639,0.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,336.673,4.99,5.74,27.7,31.5,102,0,831,19,0,613,2.18,2.24,2.24,2.46,2.68,4.44
43507.72317,325.451,26.453,2.204,0.802,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,12,0,355.311,4.99,5.62,27.8,31.4,104,0,832,26,0,612,2.49,2.83,2.92,2.47,2.69,4.31
43507.72328,325.451,24.048,2.806,0.401,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,10.33,0,0,352.906,4.99,5.78,27.8,30.9,108,0,757,20,0,612,2.38,2.55,2.56,2.46,2.68,4.18
43507.7234,324.649,26.453,3.808,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,0,0,355.11,4.99,5.86,27.9,30.7,123,0,841,21,0,613,2.39,2.52,2.53,2.46,2.67,4.06
43507.72352,345.892,20.24,4.208,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,10.67,0,370.942,4.99,5.91,28,30.6,105,0,813,24,0,614,2.43,2.65,8.85,2.45,2.67,4.38
43507.72363,338.956,24.096,5.622,0.402,0.201,0,0,0,0,0,0,0.201,0,0,0,0.201,0,0,0,0,0,0,0,0,8.33,9,0,0,369.679,4.98,5.93,28,30.7,104,0,772,19,0,613,2.49,2.71,14.44,2.46,2.67,5.01
43507.72375,309.6,25,2.4,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,0,0,337.4,5,5.94,28,30.6,125,0,853,17,0,613,2.21,2.45,2.62,2.44,2.66,4.87
43507.72386,312.826,24.649,2.004,0.401,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,8.67,6.67,0,0,340.281,4.99,5.71,28.1,30.4,94,0,831,26,0,613,2.31,2.57,10.28,2.43,2.65,5.17
43507.72398,332.665,25.651,2.806,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,8.67,9.33,0,0,361.523,4.99,5.6,28.2,30.2,94,0,852,20,0,613,2.51,2.63,10.37,2.44,2.65,5.44
43507.7241,337.475,27.054,3.407,0.401,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,12.33,0,368.537,4.99,5.77,28.2,30.3,98,0,834,22,0,613,2.52,2.75,2.79,2.44,2.66,5.31
43507.72421,321.443,20.24,3.206,0.2,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,0,0,345.491,4.99,5.86,28.2,30.2,93,0,821,17,0,613,2.28,2.48,2.5,2.43,2.65,5.17
43507.72433,261.723,19.038,2.004,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,0,283.166,4.99,5.68,28.3,30,86,0,703,21,0,613,1.93,2.07,2.07,2.41,2.62,5.03
43507.72444,262.725,17.034,3.006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,0,282.966,4.99,5.59,28.3,29.9,97,0,595,16,0,613,1.96,2.07,2.07,2.39,2.6,4.9
43507.72456,268.537,20.04,4.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,8.33,0,0,0,292.786,4.99,5.76,28.3,29.8,78,0,672,19,0,613,2.01,2.12,5.66,2.38,2.58,4.94
43507.72467,311.623,27.054,2.605,0.401,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,13.33,342.285,4.99,5.63,28.4,29.7,114,0,830,17,0,613,2.4,2.78,6.18,2.38,2.59,4.99
43507.72479,319.076,28.313,3.012,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,350.602,4.98,5.79,28.5,29.7,105,0,822,19,0,613,2.39,2.54,2.54,2.38,2.58,4.89
43507.72491,313.427,21.844,2.605,0,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,338.477,4.99,5.64,28.5,29.6,107,0,792,15,0,613,2.33,2.55,2.57,2.38,2.58,4.81
43507.72502,322.044,25.05,3.808,0.401,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10.33,0,0,351.703,4.99,5.57,28.5,29.5,107,0,805,24,0,613,2.5,2.7,9.24,2.38,2.59,4.96
43507.72514,301.804,23.046,3.206,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,11,0,0,328.657,4.99,5.75,28.5,29.5,112,0,788,12,0,610,2.25,2.54,2.73,2.38,2.59,4.89
43507.72525,309.839,24.699,4.618,0,0.201,0,0.201,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,339.96,4.98,5.85,28.6,29.4,88,0,724,21,0,612,2.32,2.73,8.35,2.37,2.59,5
43507.72537,295.792,21.042,3.206,0.401,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9,0,0,320.641,4.99,5.9,28.6,29.4,105,0,774,20,0,613,2.13,2.39,2.56,2.36,2.58,5
43507.72549,306.627,25.904,3.012,0.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10.33,0,0,336.145,4.98,5.69,28.6,29.3,99,0,792,16,0,613,2.34,2.49,2.5,2.35,2.57,4.99
43507.7256,285,16.4,2.8,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,0,19.67,304.8,5,5.82,28.7,29.2,93,0,699,19,0,613,2,2.3,5.58,2.33,2.55,5.03
43507.72572,307.816,27.455,4.008,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10.67,0,0,339.479,4.99,5.66,28.7,29.2,81,0,898,20,0,613,2.4,2.54,2.54,2.33,2.54,5.01
43507.72583,307.214,20.04,1.603,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,8.67,0,0,0,329.259,4.99,5.58,28.8,29.2,107,0,742,27,0,613,2.23,2.35,4.8,2.32,2.53,5.08
43507.72595,314.629,23.848,2.405,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,0,0,341.082,4.99,5.76,28.8,29.2,105,0,757,28,0,612,2.29,2.4,2.4,2.31,2.52,4.97
43507.72606,309.237,23.092,1.807,0.402,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,0,0,334.739,4.98,5.63,28.8,29.1,88,0,783,22,0,612,2.29,2.46,5.29,2.3,2.5,5.05
43507.72618,309.82,20.24,3.206,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,10.67,0,0,333.667,4.99,5.78,28.8,29.1,98,0,760,23,0,613,2.24,2.37,2.37,2.3,2.51,5.05
43507.7263,290.161,20.482,2.61,0.201,0.201,0,0.201,0,0,0,0,0.201,0,0.201,0,0,0,0,0,0,0,0,0,0,8.33,10,0,0,314.257,4.98,5.87,28.9,29,111,0,773,24,0,613,2.08,2.36,16.15,2.29,2.49,5.23
43507.72641,273.6,18,2.4,0.4,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,294.8,5,5.68,28.9,28.9,85,0,695,22,0,612,2,2.24,8.2,2.28,2.48,5.2
43507.72653,269.88,22.49,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,8.67,0,0,0,294.98,4.98,5.59,28.9,28.9,111,0,762,11,0,612,2.06,2.15,2.15,2.27,2.48,5.19
43507.72664,321.643,20.24,3.407,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,12.33,0,345.892,4.99,5.76,28.9,28.9,105,0,860,24,0,612,2.31,2.75,4.37,2.27,2.47,5.24
43507.72676,309.619,21.443,3.407,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,335.07,4.99,5.63,29,28.8,102,0,840,28,0,612,2.32,2.51,7.09,2.26,2.47,5.39
43507.72688,298.798,21.844,4.208,0.802,0.401,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,8.33,10.67,0,0,326.653,4.99,5.79,29,28.8,100,0,758,20,0,613,2.27,2.73,13.09,2.26,2.48,5.75
