Software ver: OPC-N3 Alphasense 1.0.6457.18465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43507.72699,293.587,21.242,1.403,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,0,0,316.433,4.99,5.64,29,28.8,119,0,751,23,0,613,2.14,2.23,2.23,2.25,2.46,5.52
43507.72711,308.417,22.645,3.808,0.802,0.401,0.401,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.33,10,11.33,0,336.673,4.99,5.79,29,28.8,111,0,786,20,0,613,2.33,2.78,9.66,2.24,2.47,5.37
43507.72722,294.589,20.641,3.407,0.601,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,319.439,4.99,5.64,29.1,28.7,92,0,730,19,0,613,2.23,2.38,10.01,2.25,2.46,5.61
43507.72734,309.036,23.695,3.815,0.803,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,0,0,337.55,4.98,5.79,29.1,28.6,95,0,811,19,0,613,2.33,2.55,2.56,2.25,2.46,5.35
43507.72745,296.586,19.679,2.209,0.201,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,10,12.33,0,318.876,4.98,5.87,29.1,28.6,115,0,770,20,0,613,2.08,2.27,2.31,2.23,2.45,5.09
43507.72757,263.727,19.238,3.407,0.2,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9,0,0,286.974,4.99,5.68,29.1,28.5,110,0,783,13,0,612,1.99,2.38,2.74,2.21,2.44,5.08
43507.72769,296.994,25.251,1.804,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,324.449,4.99,5.59,29.1,28.6,109,0,745,22,0,612,2.25,2.52,2.71,2.21,2.44,5.09
43507.7278,297.395,27.054,2.204,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,11,0,327.054,4.99,5.76,29.1,28.6,120,0,794,17,0,611,2.23,2.54,2.76,2.22,2.46,5.11
43507.72792,312.45,25.1,3.213,0.201,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,8.33,0,0,341.165,4.98,5.63,29.2,28.5,134,0,841,20,0,611,2.38,2.56,5.39,2.24,2.47,5.22
43507.72803,309.438,20.683,3.012,0.402,0.201,0.201,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,12,0,334.137,4.98,5.79,29.2,28.5,101,0,824,31,0,613,2.25,2.65,2.87,2.24,2.49,5.13
43507.72815,303.414,21.687,4.016,0.201,0,0,0,0,0.602,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0,8.67,9,0,0,330.12,4.98,5.64,29.2,28.4,102,0,759,15,0,613,2.3,2.74,9.5,2.24,2.49,5.24
43507.72827,294.389,20.441,3.206,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,318.437,4.99,5.57,29.2,28.4,89,0,733,13,0,613,2.23,2.37,2.37,2.24,2.48,5.24
43507.72838,311.044,20.281,3.614,1.004,0,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10.33,0,0,336.145,4.98,5.53,29.2,28.4,98,0,759,12,0,613,2.39,2.61,7.28,2.24,2.49,5.39
43507.7285,298.798,26.253,3.407,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,328.858,4.99,5.52,29.2,28.3,85,0,810,21,0,612,2.37,2.67,2.86,2.23,2.48,5.18
43507.72861,266.733,19.038,1.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,287.375,4.99,5.73,29.3,28.3,100,0,698,21,0,613,1.91,1.98,1.98,2.22,2.47,5.16
43507.72873,311.847,20.884,5.02,0.602,0,0,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,8.67,8,0,0,338.554,4.98,5.61,29.3,28.2,95,0,787,16,0,614,2.4,2.59,9.09,2.23,2.46,5.18
43507.72885,293,22.4,1.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,317.4,5,5.55,29.3,28.2,92,0,754,21,0,613,2.2,2.33,2.33,2.23,2.46,5.17
43507.72896,292.169,20.482,2.811,0,0.402,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,14.67,0,316.064,4.98,5.53,29.3,28.2,85,0,804,20,0,613,2.23,2.51,2.56,2.22,2.46,5.17
43507.72908,289.379,16.834,2.004,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,27.33,308.417,4.99,5.51,29.3,28.2,83,0,779,13,0,613,2.11,2.34,2.92,2.23,2.46,5.09
43507.72919,300.802,19.84,3.407,0.401,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,13,0,324.85,4.99,5.72,29.3,28.2,94,0,761,17,0,613,2.23,2.5,2.54,2.22,2.46,5.09
43507.72931,278.156,21.844,2.405,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,0,0,302.605,4.99,5.61,29.4,28.2,87,0,774,14,0,612,2.1,2.21,2.21,2.22,2.45,5
43507.72942,302.004,19.84,3.006,0.2,0.2,0.2,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,8.67,10,10.33,1.67,326.052,4.99,5.55,29.4,28.1,114,0,780,15,0,613,2.28,2.7,15.78,2.22,2.46,5.45
43507.72954,292.385,21.844,2.204,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,0,0,317.034,4.99,5.75,29.4,28.1,75,0,750,19,0,613,2.14,2.42,2.6,2.21,2.46,5.36
43507.72966,292.986,23.848,3.006,0.2,0.2,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,10.67,14.67,0,320.641,4.99,5.85,29.4,28.1,106,0,787,26,0,613,2.17,2.51,2.59,2.21,2.47,5.36
43507.72977,318.273,16.667,2.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,337.149,4.98,5.9,29.4,28,103,0,769,19,0,613,2.14,2.22,2.22,2.21,2.46,4.9
43507.72989,308.216,16.633,3.808,0.401,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,8.33,10,0,0,329.659,4.99,5.92,29.4,28,100,0,847,12,0,613,2.15,2.3,20.12,2.22,2.47,5.3
43507.73,324.297,23.896,3.213,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0,0,0,8.67,9.67,0,0,351.807,4.98,5.71,29.4,28,119,0,875,16,0,613,2.4,2.52,7.19,2.23,2.48,5.46
43507.73012,302.806,20.641,3.006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,0,0,326.653,4.99,5.83,29.4,28,107,0,803,21,0,613,2.17,2.28,2.28,2.22,2.46,5.4
43507.73023,302.209,20.683,2.811,0.201,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,0,0,326.104,4.98,5.89,29.4,28,91,0,810,17,0,613,2.14,2.34,3.73,2.22,2.46,5.28
43507.73035,299.599,17.836,3.808,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9,0,0,321.443,4.99,5.92,29.5,28,108,0,783,15,0,613,2.1,2.22,2.22,2.21,2.44,4.92
43507.73047,290.982,19.038,3.006,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10.67,13,0,313.627,4.99,5.7,29.5,28,96,0,701,18,0,613,2.14,2.39,2.43,2.21,2.44,4.93
43507.73058,278.514,18.474,2.61,0,0.201,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,12.67,300,4.98,5.82,29.5,27.9,93,0,737,26,0,613,1.99,2.26,2.82,2.2,2.43,4.7
43507.7307,271.543,19.639,2.405,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,0,293.988,4.99,5.66,29.5,27.9,98,0,674,12,0,613,2.02,2.14,2.14,2.19,2.42,4.44
43507.73081,289.579,21.242,2.806,0.601,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,314.429,4.99,5.58,29.5,27.9,111,0,733,18,0,613,2.21,2.5,2.68,2.19,2.42,4.44
43507.73093,283.367,19.439,3.006,0.401,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,8.67,10.33,0,306.613,4.99,5.54,29.5,27.9,94,0,783,12,0,613,2.16,2.49,4.01,2.19,2.43,4.5
43507.73105,316.265,22.892,2.811,0.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,0,342.57,4.98,5.52,29.5,27.9,94,0,822,17,0,613,2.42,2.57,2.57,2.21,2.43,4.49
43507.73116,304.609,21.443,2.605,0.401,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9,19,0,329.259,4.99,5.51,29.5,27.8,101,0,788,20,0,613,2.32,2.54,2.59,2.21,2.43,4.49
43507.73128,331.062,24.048,4.81,0.401,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8.33,11,12.67,0,360.922,4.99,5.72,29.5,27.9,118,0,864,19,0,613,2.51,2.87,11.2,2.22,2.44,4.77
43507.73139,312.625,20.842,4.609,0.2,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,8.33,10,0,18,338.677,4.99,5.83,29.5,27.9,120,0,810,24,0,613,2.28,2.56,10.55,2.21,2.44,4.94
43507.73151,322.244,22.445,2.405,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,10.67,0,347.896,4.99,5.89,29.5,27.8,103,0,841,25,0,613,2.28,2.57,5.31,2.22,2.44,5.02
43507.73163,307.229,24.297,1.004,0.402,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,11,0,0,333.133,4.98,5.69,29.5,27.9,105,0,824,25,0,613,2.25,2.4,2.41,2.21,2.43,4.79
43507.73174,303.607,20.842,2.004,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,326.653,4.99,5.59,29.6,27.9,110,0,823,28,0,612,2.22,2.41,3.87,2.21,2.43,4.84
43507.73186,288.956,24.9,1.205,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,315.261,4.98,5.55,29.6,27.9,84,0,705,18,0,612,2.19,2.28,2.28,2.21,2.42,4.67
43507.73197,290.782,24.048,2.605,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10.67,0,0,318.036,4.99,5.52,29.6,27.8,92,0,803,17,0,613,2.27,2.57,2.76,2.2,2.42,4.67
43507.73209,307.43,24.498,2.008,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10.33,0,0,334.337,4.98,5.51,29.6,27.8,101,0,784,28,0,613,2.36,2.48,2.48,2.22,2.43,4.68
43507.7322,314.6,24.4,2.2,0.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.67,0,13,342,5,5.72,29.6,27.9,93,0,813,20,0,613,2.33,2.61,3.17,2.22,2.43,4.49
43507.73232,312.851,20.683,3.414,0.402,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,11,0,0,337.55,4.98,5.61,29.6,27.8,108,0,833,17,0,613,2.35,2.53,2.54,2.22,2.44,4.49
43507.73244,302.605,21.042,3.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,327.255,4.99,5.55,29.6,27.8,117,0,818,18,0,612,2.29,2.4,2.4,2.22,2.44,4.49
43507.73255,288.377,23.246,3.607,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,6.67,0,0,315.431,4.99,5.53,29.6,27.7,96,0,767,18,0,612,2.26,2.39,2.39,2.23,2.44,4.47
43507.73267,298.795,23.293,3.414,0.402,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,0,0,326.104,4.98,5.51,29.6,27.8,103,0,775,25,0,612,2.34,2.53,2.54,2.23,2.44,4.47
43507.73278,288.577,21.042,4.609,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,314.629,4.99,5.51,29.6,27.7,90,0,838,19,0,613,2.28,2.5,2.51,2.24,2.45,4.48
43507.7329,294.177,20.884,2.41,0.402,0,0,0,0,0.201,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,0,0,318.273,4.98,5.72,29.6,27.7,93,0,753,26,0,613,2.15,2.43,6.64,2.23,2.44,4.18
43507.73302,293.387,22.044,4.409,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,11.33,0,320.24,4.99,5.61,29.6,27.8,107,0,769,21,0,612,2.27,2.51,2.55,2.24,2.44,4.17
43507.73313,303.407,24.449,1.603,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9,0,0,329.86,4.99,5.55,29.6,27.8,89,0,825,16,0,612,2.29,2.44,5.31,2.24,2.44,4.26
43507.73325,275.551,19.439,2.004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,297.194,4.99,5.53,29.7,27.7,100,0,752,22,0,612,2.07,2.16,2.16,2.24,2.44,4.26
43507.73336,283.968,22.244,3.808,0.401,0.601,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,10,0,0,311.222,4.99,5.73,29.7,27.7,125,0,727,14,0,612,2.18,2.56,4,2.24,2.45,3.72
43507.73348,267.269,19.679,2.61,0,0.201,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,14.67,0,289.96,4.98,5.84,29.7,27.6,104,0,706,25,0,613,1.94,2.15,2.2,2.23,2.44,3.56
