date,>0.30 ?m,>0.40 ?m,>0.50 ?m,>0.65 ?m,>0.80 ?m,>1.0 ?m,>1.6 ?m,>2.0 ?m,>3.0 ?m,>4.0 ?m,>5.0 ?m,>7.5 ?m,>10.0 ?m,>15.0 ?m,>20.0 ?m
04/04/2019 20.44.00,505,70,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.45.00,390,80,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.46.00,500,55,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.47.00,430,60,30,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.48.00,525,75,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.49.00,430,90,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.50.00,450,85,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.51.00,445,60,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.52.00,490,100,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.53.00,465,90,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.54.00,455,120,35,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.55.00,510,95,20,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.56.00,450,85,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.57.00,385,55,20,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.58.00,480,50,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.59.00,465,55,10,10,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 21.00.00,435,80,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.01.00,320,55,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.02.00,405,70,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.03.00,385,70,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.04.00,465,105,40,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.05.00,385,50,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.06.00,495,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.07.00,440,75,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.08.00,380,75,20,15,15,5,5,3,0,0,0,0,0,0,0
04/04/2019 21.09.00,475,90,20,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 21.10.00,360,25,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.11.00,480,90,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.12.00,450,95,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.13.00,465,70,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.14.00,480,100,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.15.00,400,55,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.16.00,435,95,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.17.00,425,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.18.00,370,55,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.19.00,315,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.20.00,415,75,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.21.00,295,40,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.22.00,380,45,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.23.00,345,50,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.24.00,355,60,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.25.00,445,80,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.26.00,415,50,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.27.00,450,70,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.28.00,425,85,35,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.29.00,380,60,10,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.30.00,425,90,30,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.31.00,360,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.32.00,360,55,5,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 21.33.00,360,75,35,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.34.00,425,75,25,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.35.00,415,75,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.36.00,435,100,15,5,5,5,5,0,0,0,0,0,0,0,0
04/04/2019 21.37.00,430,60,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.38.00,365,50,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.39.00,425,85,30,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.40.00,310,70,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.41.00,305,50,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.42.00,425,85,20,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.43.00,365,55,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.44.00,325,40,10,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.45.00,320,55,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.46.00,410,90,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.47.00,390,60,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.48.00,445,60,10,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 21.49.00,410,65,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.50.00,385,60,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.51.00,405,85,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.52.00,390,50,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.53.00,370,65,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.54.00,330,70,30,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 21.55.00,390,30,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.56.00,340,40,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.57.00,395,50,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.58.00,420,70,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.59.00,370,50,15,10,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.00.00,395,55,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.01.00,260,55,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.02.00,355,60,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.03.00,375,65,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.04.00,325,45,10,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.05.00,335,65,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.06.00,375,60,30,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.07.00,325,45,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.08.00,300,55,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.09.00,295,65,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.10.00,320,80,20,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 22.11.00,405,65,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.12.00,345,50,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.13.00,285,60,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.14.00,305,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.15.00,335,40,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.16.00,350,50,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.17.00,345,95,35,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.18.00,300,30,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.19.00,245,50,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.20.00,330,30,15,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 22.21.00,325,55,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.22.00,255,50,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.23.00,310,45,20,10,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 22.24.00,315,45,30,15,10,10,0,0,0,0,0,0,0,0,0
04/04/2019 22.25.00,260,35,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.26.00,220,35,5,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 22.27.00,205,25,5,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.28.00,270,60,15,10,10,10,10,5,0,0,0,0,0,0,0
04/04/2019 22.29.00,265,45,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.30.00,335,40,20,10,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 22.31.00,200,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.32.00,230,20,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.33.00,240,55,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.34.00,190,30,10,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.35.00,270,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.36.00,290,55,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.37.00,260,65,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.38.00,260,65,10,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 22.39.00,240,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.40.00,235,35,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.41.00,265,40,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.42.00,290,40,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.43.00,260,60,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.44.00,250,45,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.45.00,225,55,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.46.00,245,50,15,10,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 22.47.00,220,45,20,10,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 22.48.00,200,40,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.49.00,245,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.50.00,170,20,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.51.00,190,30,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.52.00,235,50,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.53.00,235,35,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.54.00,250,50,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.55.00,185,45,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.56.00,210,45,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.57.00,210,55,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.58.00,190,55,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 22.59.00,270,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.00.00,215,40,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.01.00,205,25,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.02.00,205,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.03.00,195,35,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.04.00,195,20,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.05.00,200,15,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.06.00,220,35,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.07.00,195,35,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.08.00,130,25,15,10,10,5,0,0,0,0,0,0,0,0,0
04/04/2019 23.09.00,185,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.10.00,170,20,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.11.00,235,45,5,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 23.12.00,205,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.13.00,170,45,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.14.00,170,30,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.15.00,170,25,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.16.00,150,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.17.00,155,35,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.18.00,165,25,10,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 23.19.00,220,35,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.20.00,150,65,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.21.00,235,45,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.22.00,145,25,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.23.00,180,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.24.00,170,40,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.25.00,175,30,10,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 23.26.00,160,50,10,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 23.27.00,185,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.28.00,140,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.29.00,130,25,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.30.00,150,20,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.31.00,210,65,25,15,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.32.00,180,20,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.33.00,145,40,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.34.00,145,25,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.35.00,120,30,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.36.00,120,20,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.37.00,160,35,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.38.00,185,55,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.39.00,130,20,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.40.00,215,40,5,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.41.00,190,35,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.42.00,165,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.43.00,195,55,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.44.00,135,20,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.45.00,140,20,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.46.00,205,70,30,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.47.00,130,10,5,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.48.00,125,30,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.49.00,145,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.50.00,115,60,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.51.00,155,30,10,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.52.00,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.53.00,125,35,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.54.00,75,15,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.55.00,145,45,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.56.00,130,45,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.57.00,145,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.58.00,140,50,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 23.59.00,135,20,10,5,0,0,0,0,0,0,0,0,0,0,0
4/5/2019 0:00,170,35,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.01.00,130,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.02.00,100,50,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.03.00,135,25,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.04.00,125,25,5,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.05.00,90,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.06.00,155,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.07.00,155,30,10,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.08.00,165,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.09.00,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.10.00,145,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.11.00,95,15,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.12.00,130,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.13.00,150,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.14.00,155,15,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.15.00,230,60,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.16.00,140,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.17.00,110,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.18.00,130,40,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.19.00,145,40,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.20.00,120,10,5,5,5,5,5,0,0,0,0,0,0,0,0
05/04/2019 0.21.00,170,30,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.22.00,180,50,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.23.00,180,10,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.24.00,200,45,20,10,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.25.00,155,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.26.00,120,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.27.00,150,45,20,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.28.00,160,30,10,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 0.29.00,150,40,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.30.00,170,30,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.31.00,185,50,10,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.32.00,195,60,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.33.00,145,25,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.34.00,170,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.35.00,155,20,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.36.00,190,65,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.37.00,190,35,15,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 0.38.00,225,75,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.39.00,145,45,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.40.00,150,45,15,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 0.41.00,130,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.42.00,180,40,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.43.00,145,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.44.00,140,15,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.45.00,155,30,10,5,5,5,5,0,0,0,0,0,0,0,0
05/04/2019 0.46.00,190,70,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.47.00,220,70,50,15,10,5,5,3,0,0,0,0,0,0,0
05/04/2019 0.48.00,130,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.49.00,155,50,25,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.50.00,140,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.51.00,105,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.52.00,165,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.53.00,135,35,20,10,10,5,0,0,0,0,0,0,0,0,0
05/04/2019 0.54.00,185,55,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.55.00,195,45,25,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 0.56.00,190,65,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.57.00,200,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.58.00,195,15,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 0.59.00,170,10,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 1.00.00,170,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 1.01.00,205,55,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 1.02.00,195,55,10,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 1.03.00,205,45,30,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 1.04.00,200,50,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 1.05.00,170,40,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 1.06.00,210,55,15,0,0,0,0,0,0,0,0,0,0,0,0
